StockOrbit 持股匯出,2026-08-27

代號,股數,買入均價,現價,市值,目前佔比,目標佔比
GOOGL,9.55637,293.0,341.47,3263.21,6.9%,7%
IAU,23.85817,83.83,86.28,2058.48,4.4%,5%
IBIT,50.41185,39.67,45.12,2274.58,4.8%,5%
IONQ,60.91647,32.83,41.1,2503.67,5.3%,5%
MSFT,7.64539,372.91,492.68,3766.73,8.0%,7%
NVDA,24.90747,176.65,223.9,5576.78,11.8%,11%
PLTR,18.03701,155.24,176.65,3186.24,6.8%,7%
QQQ,9.5381,587.12,719.19,6859.71,14.6%,14%
TSLA,7.26806,385.25,347.65,2526.74,5.4%,7%
VOO,15.87113,604.87,707.44,11227.87,23.9%,24%
VT,23.08541,138.62,161.53,3728.99,7.9%,8%
CASH,1.0,93.93,93.93,93.93,0.2%,

建議
VOO 佔投資組合 23.9%，超過集中度門檻 20%，建議考慮減碼分散風險。
